date,quantitative_only,equal_weight,benchmark
2022-10-07,99747.78801049564,89200.21082489444,98351.91137114192
2022-10-10,98876.091551098,88617.47596358445,97615.01325186889
2022-10-11,97524.71023792222,87104.48334911492,96978.64382193214
2022-10-12,97564.57133925158,87091.10639571601,96659.50910491202
2022-10-13,99973.52386223096,88912.24252061984,99169.33535877289
2022-10-14,96597.45528061324,86090.15058317097,96822.72473519022
2022-10-17,100675.96466849116,89941.13626861761,99386.59555021678
2022-10-18,101736.81623313687,90574.1917855858,100522.342794782
2022-10-19,101154.51148856326,90078.71275649896,99851.64794348965
2022-10-20,101011.24473510002,89863.15672917895,99057.73650663927
2022-10-21,103792.51513882754,91464.8486079781,101407.86345726067
2022-10-24,105236.244191728,92429.92163878323,102612.78932345472
2022-10-25,106795.23043167201,94556.5621260504,104281.95612283579
2022-10-26,101748.78507306133,89169.14334760925,103511.55063952951
2022-10-27,98346.75913179378,82853.70704272023,102881.93018250201
2022-10-28,100821.64676404608,84679.63759382718,105415.53947383873
2022-10-31,99322.2051211528,82822.03829922866,104629.729443374
