date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2024-02-06,173222.119099998,171007.97500756235,164166.70125907,163792.80585355195,133874.59260415487
2024-02-07,176719.57064757936,174460.72174652637,166612.41354792425,166232.9479471047,134977.91443146797
2024-02-08,176543.38091847693,174286.78409383236,166411.7988636521,166032.79016979452,135054.93057002366
2024-02-09,177684.55742913473,175413.37396138345,168484.31009456288,168100.58118386974,135830.46210606745
2024-02-12,176558.24978225862,174301.46290216918,167110.7414377984,166730.14087777556,135701.5652999084
2024-02-13,173336.06350188318,171120.46295962686,164112.6339736833,163738.8617082993,133845.9474034003
2024-02-14,175781.61876114775,173534.75886380355,165947.0927209582,165569.1424115984,135128.15989484533
2024-02-15,176716.45992500367,174457.65078554724,165588.81505378408,165211.6807343457,135914.77478815944
2024-02-16,174447.2567360602,172217.45280022002,163737.96913898736,163365.0501858721,135261.91226704663
2024-02-20,173760.68284201302,171539.65476885956,163039.73351072377,162668.40481367978,134449.62092938967
2024-02-21,173480.84846544685,171263.39726593372,163479.02797366836,163106.6987681162,134619.59212981357
2024-02-22,178237.6876116309,175959.4339733247,167514.3289067181,167132.8091621152,137463.14618776712
2024-02-23,177413.41949942498,175145.70174637812,166990.1258250978,166609.79997135265,137510.97615217767
2024-02-26,176260.02997823467,174007.05497633235,164908.12392248955,164532.53990091677,136990.2562775674
2024-02-27,177259.72297371313,174993.96978648615,165620.7493338031,165243.54228292473,137224.00956018732
2024-02-28,176541.73138506847,174285.1556449405,164572.59681524467,164197.77696839708,136996.47087432252
2024-02-29,178403.4658647026,176123.09323061453,166574.45616298364,166195.07701143617,137712.83839369958
2024-03-01,180511.389406329,178085.11457190165,167308.13128541104,166905.49870516005,138815.61924762215
2024-03-04,179476.7063638134,177064.33882596117,165109.06073506095,164711.72029119948,138649.9758343228
2024-03-05,175627.2510322289,173266.6244766382,161845.45706650763,161455.97059337606,137236.7026431564
2024-03-06,176061.63233868635,173695.1672128211,161594.48597012405,161205.6034672797,137942.250694722
2024-03-07,180127.9927304291,177706.87117585517,164575.39808060264,164179.34191366125,139363.62529227405
2024-03-08,178612.2259595426,176211.47800456898,164205.71051243923,163810.54401092124,138453.78721616542
2024-03-11,174817.0202218748,172467.28407398472,162826.10934885897,162434.26290340725,138298.4091028141
2024-03-12,179392.64672477666,176981.40904242807,165725.79062497953,165326.96600013424,139847.5985597441
2024-03-13,179139.48932917995,176731.65436518673,165571.01471469205,165172.56256322053,139578.45770069683
2024-03-14,180920.53939629922,178488.7651286924,167685.73139926206,167282.19011178342,139177.71516853763
2024-03-15,177444.48767787573,175059.43543060965,165103.4425810615,164706.11565747444,138275.43752542412
2024-03-18,179559.42897874065,177145.94955648325,167829.42579466398,167425.53870184554,139149.06996778306
2024-03-19,180448.64501622194,178023.21353652814,168654.75247854413,168248.8792096222,139935.1438877066
2024-03-20,182892.09027740138,180433.81616231488,170906.09282584896,170494.80163153334,141181.15074540197
2024-03-21,183605.38742059184,181137.5257946359,169771.98804411324,169363.42611065923,141638.08853781622
2024-03-22,184084.55598005155,181610.2537930812,170911.1171374047,170499.81385191632,141439.48533111069
2024-03-25,182507.33124976614,180054.2287260631,169717.9715340392,169309.53959311257,141007.39273124404
2024-03-26,181074.48402854695,178640.64057301605,168804.37171264103,168398.13838005805,140612.60090638112
2024-03-27,181239.7500554675,178803.685239814,169648.6874394957,169240.42223304597,141826.1757495879
2024-03-28,180179.81799110773,177757.99984710422,168809.50241113792,168403.25673135841,141984.52261935093
2024-04-01,181995.58981841162,179521.4450789973,170364.62775330633,169945.8447028034,141698.62477966878
2024-04-02,182183.54541940655,179706.8455116944,170037.28407850146,169619.30569023686,140672.86006430196
2024-04-03,183739.12159854954,181241.2743618047,171171.2598944158,170750.49401524037,140826.35136802276
